epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0887,1.25202,4.33724,0.93319,0.10438,0.23571,0.08434,0.06683,0.75616,2.65082,0.83044,0.00332572,0.00332572,0.00332572
2,159.384,0.96525,2.39691,0.86696,0.35325,0.6365,0.4192,0.34407,0.68251,1.61057,0.82844,0.00652721,0.00652721,0.00652721
3,227.444,0.94452,1.80806,0.86292,0.41138,0.58175,0.48901,0.39663,0.70589,1.7883,0.82621,0.00959669,0.00959669,0.00959669
4,295.498,0.88836,1.46567,0.85442,0.63311,0.75715,0.74216,0.61942,0.64597,1.11367,0.81732,0.009406,0.009406,0.009406
5,363.174,0.80559,1.2044,0.84087,0.754,0.8152,0.84946,0.72394,0.59474,0.84394,0.80889,0.009208,0.009208,0.009208
6,430.663,0.75872,1.05301,0.83446,0.81544,0.87757,0.90244,0.78698,0.54134,0.65985,0.80092,0.00901,0.00901,0.00901
7,498.379,0.71606,0.93375,0.82657,0.84341,0.90923,0.93299,0.81685,0.53021,0.58428,0.79934,0.008812,0.008812,0.008812
8,566.05,0.69337,0.85784,0.82354,0.86489,0.90986,0.93907,0.82849,0.51175,0.56874,0.79541,0.008614,0.008614,0.008614
9,633.5,0.67094,0.7943,0.82075,0.89181,0.9261,0.95939,0.84401,0.52711,0.50152,0.79689,0.008416,0.008416,0.008416
10,700.844,0.65509,0.7501,0.81814,0.90087,0.941,0.966,0.85195,0.51382,0.46983,0.79621,0.008218,0.008218,0.008218
11,771.501,0.64067,0.70964,0.81599,0.91258,0.93533,0.96863,0.8665,0.47958,0.46078,0.79012,0.00802,0.00802,0.00802
12,841.271,0.62339,0.67197,0.81302,0.92507,0.95673,0.97435,0.84721,0.56306,0.43895,0.79819,0.007822,0.007822,0.007822
13,909.503,0.61716,0.65398,0.81204,0.92401,0.96065,0.97396,0.8739,0.46836,0.41334,0.7885,0.007624,0.007624,0.007624
