epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2545,1.25202,4.33724,0.93319,0.10438,0.23571,0.08434,0.06683,0.75616,2.65082,0.83044,0.00332572,0.00332572,0.00332572
2,158.638,0.9666,2.39648,0.86698,0.37962,0.63481,0.44844,0.36875,0.67849,1.54822,0.82345,0.00659313,0.00659313,0.00659313
3,225.794,0.94788,1.80686,0.86392,0.38117,0.52597,0.41853,0.33423,0.73655,1.94478,0.8351,0.00979454,0.00979454,0.00979454
4,292.49,0.89089,1.46914,0.85522,0.61473,0.74974,0.73806,0.61564,0.64488,1.09166,0.81436,0.009703,0.009703,0.009703
5,359.208,0.80774,1.21124,0.84109,0.77658,0.85554,0.87718,0.75039,0.58646,0.78129,0.80577,0.009604,0.009604,0.009604
6,425.76,0.7582,1.0553,0.83439,0.8214,0.88505,0.91448,0.79403,0.55456,0.65782,0.80104,0.009505,0.009505,0.009505
7,492.683,0.71887,0.93831,0.82699,0.83615,0.89168,0.92371,0.80614,0.54508,0.62831,0.80071,0.009406,0.009406,0.009406
8,560.841,0.69944,0.86379,0.82435,0.85203,0.91896,0.94161,0.8314,0.51374,0.55895,0.79717,0.009307,0.009307,0.009307
9,628.31,0.67638,0.80432,0.82147,0.88971,0.93975,0.9616,0.84929,0.51669,0.50594,0.79682,0.009208,0.009208,0.009208
10,695.171,0.66162,0.75799,0.81927,0.91405,0.93514,0.96927,0.86331,0.48876,0.46486,0.79327,0.009109,0.009109,0.009109
11,762.214,0.64886,0.71761,0.81703,0.91302,0.93985,0.9681,0.86114,0.49261,0.46605,0.79213,0.00901,0.00901,0.00901
12,828.814,0.63302,0.68151,0.81417,0.90419,0.95476,0.9696,0.86321,0.4924,0.44124,0.79128,0.008911,0.008911,0.008911
13,895.873,0.62742,0.66644,0.81331,0.91914,0.95885,0.97499,0.87299,0.47443,0.42322,0.7908,0.008812,0.008812,0.008812
14,962.487,0.61706,0.64235,0.81103,0.92993,0.96231,0.97809,0.88064,0.45733,0.39033,0.78772,0.008713,0.008713,0.008713
15,1029.18,0.6052,0.61679,0.81032,0.94251,0.97328,0.98089,0.88697,0.44969,0.37276,0.78672,0.008614,0.008614,0.008614
16,1095.44,0.60034,0.60602,0.81034,0.94625,0.97154,0.98169,0.89126,0.44023,0.36016,0.78624,0.008515,0.008515,0.008515
17,1161.32,0.59193,0.59346,0.80923,0.93138,0.97392,0.97952,0.88664,0.44845,0.36956,0.78707,0.008416,0.008416,0.008416
18,1227.17,0.58626,0.57987,0.80649,0.93021,0.96924,0.97987,0.89038,0.43955,0.36362,0.78473,0.008317,0.008317,0.008317
19,1293.02,0.58117,0.56664,0.80828,0.94097,0.9827,0.98074,0.881,0.47258,0.35271,0.78829,0.008218,0.008218,0.008218
20,1358.85,0.57551,0.55936,0.80665,0.94649,0.97702,0.98162,0.89311,0.43656,0.34126,0.78517,0.008119,0.008119,0.008119
21,1424.74,0.57061,0.55216,0.80616,0.94462,0.97677,0.9815,0.89762,0.4234,0.3381,0.78327,0.00802,0.00802,0.00802
22,1490.88,0.56141,0.53978,0.80467,0.95122,0.97966,0.98262,0.89382,0.43697,0.33109,0.78641,0.007921,0.007921,0.007921
